+0.957805466950623+0.320477789555950i,+1.002231390753784+0.125015761194566i,+0.942313297258458-0.142117125077618i,+0.951390431653205-0.193978866534952i,+0.970303801540152+0.194629177608517i,+0.879736185796364-0.496151353744903i,+0.777069231513377-0.645185461536096i,+0.535375258931875-0.772809450591607i,+0.469961914139805-0.838080261131354i,+0.969629293012396+0.004309180462672i,+0.853269618128098-0.378880105482225i,+0.797922482540778-0.582891337819096i,+0.662059120525793-0.700132053375062i
+0.957698255534662+0.320214573004499i,+1.002058839785846+0.124611129185982i,+0.941901956397840-0.142945510641715i,+0.950891263304098-0.194936945467777i,+0.970133945690680+0.194218821451716i,+0.879969998345629-0.496245997633209i,+0.777415350838654-0.645328887757473i,+0.536088112658306-0.773097665923136i,+0.470801007610043-0.838381138207294i,+0.969342624696823+0.003688243472781i,+0.853226312101509-0.379565921344324i,+0.798279182604251-0.583023514340324i,+0.662593891574121-0.700339615650672i
+0.957518393718487+0.320028282137818i,+1.001777061123540+0.124333007059485i,+0.941266471332351-0.143454796357397i,+0.950189840928336-0.195529122878460i,+0.969847602213452+0.193941292307196i,+0.879640880673750-0.496253716777300i,+0.776893743065479-0.645295728510032i,+0.534929249535366-0.772949920973739i,+0.469466255641972-0.838192817245008i,+0.968888512357934+0.003289408812535i,+0.852365941986412-0.379868946472968i,+0.797742074295049-0.583010742734973i,+0.661748768982012-0.700261740540552i
+0.957410831303476+0.319881511841772i,+1.001618890037426+0.124102572364898i,+0.940924868301927-0.143870717741309i,+0.949798974086133-0.196008999650461i,+0.969690240515950+0.193720264074086i,+0.879564087407451-0.496272126705556i,+0.776790833652549-0.645309761043354i,+0.534770007038541-0.772964090798828i,+0.469296860568910-0.838196748846319i,+0.968640421889858+0.002965219438601i,+0.852064553117963-0.380166099025591i,+0.797644750123775-0.583028601806899i,+0.661619525442016-0.700278200127464i
+0.957347847078081+0.319780714900721i,+1.001531464032321+0.123928948972624i,+0.940732101542211-0.144184107900951i,+0.949574297881071-0.196370501741815i,+0.969599613007696+0.193561088983655i,+0.879556971426585-0.496277171928532i,+0.776812105149630-0.645324738525037i,+0.534929597886813-0.773006013290228i,+0.469497968705511-0.838236953866557i,+0.968502362909242+0.002722951343633i,+0.851986017601772-0.380403070884037i,+0.797677065691269-0.583040995878585i,+0.661711320564268-0.700305319952491i
+0.957325333154325+0.319712266953840i,+1.001490795855144+0.123791345591435i,+0.940574750978499-0.144412265576479i,+0.949393706041093-0.196632896493961i,+0.969547725282387+0.193446766769778i,+0.879488852294326-0.496298934046970i,+0.776713916547131-0.645340913045016i,+0.534757047409913-0.773011644377365i,+0.469306750095749-0.838230663449569i,+0.968403719039723+0.002542780368104i,+0.851812085204706-0.380564385822024i,+0.797582711845818-0.583060335627154i,+0.661577301855138-0.700317177454662i
+0.957326229643852+0.319679462456556i,+1.001477882510232+0.123695469085864i,+0.940473980947709-0.144568966047225i,+0.949275615895225-0.196814057650980i,+0.969528242419165+0.193375753419829i,+0.879399673859465-0.496293089058683i,+0.776595802666117-0.645330573660488i,+0.534574216039185-0.772980150193790i,+0.469102575375703-0.838189220430984i,+0.968347430695160+0.002420243444298i,+0.851675566871206-0.380663676596665i,+0.797467416931512-0.583049322704899i,+0.661426108339630-0.700298038306338i
+0.957452371388466+0.319634037147084i,+1.001639942319284+0.123541777286318i,+0.940646939267410-0.144823485083195i,+0.949432892845988-0.197101555620118i,+0.969674748322488+0.193272657875712i,+0.879639773142566-0.496341263970154i,+0.776985051640852-0.645429416732627i,+0.535502251958930-0.773206338118591i,+0.470187659479166-0.838438233323452i,+0.968510361605699+0.002226344533163i,+0.852125023379229-0.380926410257710i,+0.797879267264824-0.583128060779707i,+0.662092574510017-0.700449428431187i
+0.957387939568450+0.319661296136542i,+1.001486114543725+0.123516348117177i,+0.940125433609331-0.144760449983638i,+0.948897534663479-0.197038457164776i,+0.969500316072146+0.193291050929683i,+0.878736918716472-0.496163218520922i,+0.775602219421550-0.645146208498170i,+0.532556880037948-0.772538079776781i,+0.466771779845316-0.837687074291296i,+0.968168369154086+0.002248301774480i,+0.850716172379754-0.380637007987173i,+0.796464490844174-0.582874204623008i,+0.659914469677521-0.700001239866545i
+0.957599707649521+0.319588016456595i,+1.001761069117081+0.123354093734867i,+0.940540815754436-0.145011850362681i,+0.949307339554956-0.197312478776637i,+0.969767236436911+0.193171829323044i,+0.879296949983800-0.496272354887218i,+0.776445366582601-0.645354514704164i,+0.534355250942261-0.772994887486365i,+0.468854173428124-0.838194153568363i,+0.968511068326747+0.002051990434330i,+0.851643393875041-0.380981756133974i,+0.797336538988238-0.583044108527305i,+0.661245715345538-0.700312713354071i
+0.957747900227131+0.319502032003693i,+1.001918852313273+0.123196094105256i,+0.940683435364711-0.145192796504882i,+0.949440883684321-0.197504946119750i,+0.969915643931943+0.193055660057508i,+0.879462284388174-0.496338385415382i,+0.776646034487535-0.645464371018580i,+0.534678731369014-0.773159317676289i,+0.469213947478779-0.838372100704883i,+0.968659196801146+0.001890668531814i,+0.851858044659196-0.381169428999738i,+0.797542813666461-0.583134972057557i,+0.661509946167573-0.700443399525763i
+0.958011765842212+0.319326634953854i,+1.002238110104838+0.122920832843854i,+0.941140955826604-0.145549967895346i,+0.949891745337562-0.197883562056356i,+0.970233938496357+0.192832185081000i,+0.880140962678977-0.496539336477763i,+0.777619899137957-0.645775572458402i,+0.536621202228593-0.773747200287226i,+0.471449078211018-0.839015216593441i,+0.969049772415323+0.001586817880273i,+0.852863754923936-0.381634972486470i,+0.798541763549727-0.583406238542703i,+0.662976372938270-0.700869482797690i
+0.958094316462323+0.319146669501152i,+1.002269505888169+0.122683597295734i,+0.941027046297750-0.145741913125747i,+0.949765063920422-0.198077645847776i,+0.970266271953367+0.192637519363595i,+0.879946694728048-0.496594682928502i,+0.777270312788874-0.645815084865053i,+0.535790812197784-0.773688599852256i,+0.470474285544590-0.838936288453260i,+0.969008610375722+0.001378448703587i,+0.852490540398849-0.381747882769907i,+0.798186416899547-0.583449332920261i,+0.662383933622176-0.700868028419247i
+0.958187679470479+0.318893944580441i,+1.002317554299150+0.122373311725333i,+0.940973849323185-0.146013654684530i,+0.949693618005392-0.198353354863753i,+0.970322850856659+0.192370336826136i,+0.879854200224789-0.496681036679226i,+0.777104344084007-0.645893231615482i,+0.535454485742874-0.773729578665854i,+0.470084881380415-0.838965003273106i,+0.969005680569041+0.001094563758583i,+0.852332931790282-0.381953286572423i,+0.798031472408909-0.583529089394594i,+0.662134932355958-0.700930547578050i
