+0.957878849605608+0.320448397656998i,+1.002311040903879+0.124749884605504i,+0.942244723345726-0.142140225482397i,+0.951464179856874-0.193937803233816i,+0.970377381199439+0.194752785584608i,+0.879563487443104-0.496348152780765i,+0.777253917588675-0.645255112433304i,+0.535264456256817-0.772910751436740i,+0.469832691782523-0.838093865615611i,+0.969658840947541+0.004414989311738i,+0.853187419488451-0.378723007611205i,+0.797848405516413-0.582885596384986i,+0.662089619420686-0.700054097082323i
+0.957749511013010+0.320378091020666i,+1.002226083860870+0.125154301557612i,+0.942145758005480-0.142162568836493i,+0.951516051207566-0.193997749557089i,+0.970406168636982+0.194699152091693i,+0.879819546793799-0.496133371102654i,+0.776985982221453-0.645114099768935i,+0.535450441465586-0.772927740796884i,+0.469899944307324-0.838110160190664i,+0.969504800435651+0.004187240742860i,+0.853327824624603-0.378844476960045i,+0.798010040088844-0.582996954070340i,+0.661932622074947-0.700181367858879i
+0.959196106212712+0.322762779444407i,+1.002564129113967+0.125787149644942i,+0.943237326703716-0.141169623084286i,+0.952469034999185-0.193205686933163i,+0.971394706454627+0.196519674540834i,+0.879886555159416-0.496212955779731i,+0.776979164855396-0.645141261999331i,+0.535570045735626-0.773044110734407i,+0.470335168105078-0.837997962735438i,+0.970495464603500+0.005417358792476i,+0.854045820771624-0.378325760982509i,+0.797973476303504-0.582920599851065i,+0.662219931942486-0.700011486346144i
+0.961635669454262+0.327363960761919i,+1.003664421063194+0.127229394236311i,+0.945099927915864-0.139404084785642i,+0.954378155668985-0.191285822830190i,+0.973640563419630+0.199717033895921i,+0.880085533281787-0.496014805430676i,+0.777513867816733-0.644951931048416i,+0.536169570666085-0.772719471039707i,+0.470751176145509-0.837845812029559i,+0.971869091231384+0.007491612001580i,+0.855443360649187-0.376998009404726i,+0.798222816759474-0.582784911471949i,+0.662538511464363-0.699913518459330i
+0.964658468172991+0.332176641878181i,+1.005132528837387+0.128415858622710i,+0.947283523281406-0.137512008527438i,+0.956450253983495-0.189501879100589i,+0.976388749269555+0.203655248765741i,+0.879965354573409-0.496047966610701i,+0.777612924561398-0.645120247033055i,+0.536597487706967-0.772514515194241i,+0.471540721896094-0.837882068649131i,+0.973942260285693+0.009622678543881i,+0.857176181064201-0.375785871069722i,+0.798553361354982-0.582790571649602i,+0.663070541201545-0.700100763904769i
+0.967410540072115+0.336775408149249i,+1.006207490063114+0.129835705355119i,+0.949212394386897-0.135461371912311i,+0.958772626995576-0.187515464934498i,+0.979050984601517+0.207433716887091i,+0.880436674207075-0.495890813600762i,+0.777929342126593-0.645022721300956i,+0.537312320447218-0.772428314669459i,+0.471947960954843-0.837883067684854i,+0.975912188642243+0.011869955466494i,+0.858912756752446-0.374075506564036i,+0.798708583601402-0.582630804045215i,+0.663570687933071-0.699711942674099i
+0.654945407672530+0.378547033510065i,+0.539095576668299+0.202016056421743i,+0.000102091750700+0.000033071948106i,-0.000106995152281-0.000028815889900i,+0.506324848907825+0.259817652074855i,+0.822794000830486-0.456976755155206i,+0.692403568170706-0.584708615717734i,+0.357712450548931-0.647894918976888i,+0.291942272226070-0.696803832183930i,+0.265837149818495+0.104338721265441i,+0.125102372494032-0.229799902119123i,+0.709366411355496-0.524937911639815i,+0.529086081415497-0.609417473731455i
+0.601943084324953+0.434568843183282i,+0.500259297645457+0.254259934844792i,+0.000079593465673+0.000035150068048i,+0.000073311135829+0.000027997953790i,+0.467749510334846+0.304370595859406i,+0.822392191454969-0.440043013263283i,+0.694730012882943-0.568345949923798i,+0.362546228653230-0.636125054704060i,+0.297740446250801-0.685268131937837i,+0.247348636223971+0.129571095332200i,+0.126888371335279-0.225628829399228i,+0.710655363215461-0.509329645988069i,+0.532721075566573-0.595414542114302i
+0.931368701148066+0.598686379752449i,+1.021068990297841+0.437815016984169i,+1.074590861433511+0.250267136951261i,+1.106003500948861+0.202458041973178i,+0.981706812328252+0.505436844720966i,+0.836490577134389-0.427689631845236i,+0.712647622866348-0.560370889936091i,+0.379754855104657-0.635523673633156i,+0.315929706529143-0.686490423362000i,+1.042634245366602+0.358088477706872i,+0.133764177661474-0.227295356516483i,+0.726235816415654-0.499810949114078i,+0.549744284042566-0.590658955602002i
+0.954579025601787+0.616449965032603i,+1.046689305819498+0.451959900474169i,+1.102685041724861+0.262581819133203i,+1.134967938944851+0.214389115392275i,+1.006328628881823+0.521566608697998i,+0.843893565737011-0.420417376885693i,+0.720620640697315-0.555496666352589i,+0.388235316055861-0.634056148238054i,+0.324732803717632-0.685848238183532i,+1.069113794060055+0.371840983671541i,+0.136724034652642-0.226805657628525i,+0.733889287959712-0.493925112481052i,+0.558041361348055-0.587568645638327i
+0.963587468074928+0.629970417945497i,+1.055259886757088+0.462600035498412i,+1.113508264052395+0.273149982169694i,+1.146747485411651+0.224865280040915i,+1.015918888002802+0.534157596078787i,+0.854228356619446-0.414044028025679i,+0.732043968751678-0.552371486966289i,+0.399361113581558-0.634932956151732i,+0.336325491607881-0.687938609744524i,+1.079016050464504+0.382853534397297i,+0.140632199789241-0.227021729249344i,+0.744656692091129-0.489675878860862i,+0.568939925982464-0.585979744946973i
+0.963097121845104+0.639406946268928i,+1.052237737092453+0.469959367635268i,+1.113177921268064+0.281809758409692i,+1.146651970213925+0.233440603499237i,+1.014908915534726+0.543106823080335i,+0.881227460215218-0.485507553962492i,+0.763391444776407-0.666611775088424i,+0.447585683272912-0.870368527373852i,+0.372575953388152-0.928238468527089i,+1.077653457353934+0.391540897559701i,+0.528084389767035-1.090632475323329i,+0.780507658348829-0.601538684010488i,+0.611430136716480-0.760302817776788i
+0.955916333851756+0.646079381343833i,+1.041579344590967+0.475818820100534i,+1.104990606478304+0.289509420907759i,+1.138825301360097+0.241405965685922i,+1.007036160738696+0.550226983093773i,+0.887082327942039-0.501916075827556i,+0.764586691467353-0.689191032076651i,+0.444367170000633-0.890498710106349i,+0.368511296678417-0.948269311957893i,+1.068703958606138+0.398282092552423i,+0.523737582775829-1.115305687958069i,+0.783790254285506-0.619762715696613i,+0.610954009601553-0.780786209401443i
+0.944171844001448+0.651405779352465i,+1.025599870844660+0.480039623561345i,+1.091439072623879+0.295753909992002i,+1.125377035508741+0.248643829879006i,+0.994557509954121+0.555438025295989i,+0.887118961720832-0.516549715080383i,+0.759277386494029-0.707781832418112i,+0.435641407767253-0.904414316875900i,+0.358522516116921-0.961712060758874i,+1.054884118715149+0.404133449036404i,+0.512332957734276-1.132688587387355i,+0.781156323286673-0.635117265841697i,+0.604413057399439-0.796348761824091i
+0.929259221248159+0.654550667455078i,+1.006250460777855+0.483424220788226i,+1.074309337893211+0.302072308194524i,+1.108239244058803+0.254986956521612i,+0.978480685726516+0.559341399354094i,+0.881209135789251-0.529855764911397i,+0.746977631199176-0.722716159974766i,+0.420506097976406-0.913314751375477i,+0.342624872035868-0.969045245390976i,+1.037153566642297+0.408892710384494i,+0.493603360300482-1.142797794223228i,+0.772552920828894-0.647836373904894i,+0.591450729763907-0.807842825110412i
+0.912047672379686+0.657507496375168i,+0.984702398122513+0.487377523816332i,+1.055442924881132+0.308135045212230i,+1.089273823359037+0.262182373309602i,+0.960001890655347+0.562895422757083i,+0.869802465571025-0.542551266973219i,+0.727764391797397-0.735465879687355i,+0.399107702221445-0.917252738468151i,+0.320400446416601-0.971023904484492i,+1.017689372007835+0.413745624289494i,+0.467363601349698-1.147090581018639i,+0.757576040584597-0.659095079272806i,+0.571846535849673-0.816106731513221i
+0.893486132754380+0.660473569201574i,+0.963165257007349+0.492617932373725i,+1.035989082988134+0.315587615784575i,+1.069990957561313+0.270077445131469i,+0.940663527851177+0.567246892276276i,+0.852731443890991-0.555087557061806i,+0.703066809642103-0.746488470357337i,+0.372863514831757-0.917321551736741i,+0.292715167251600-0.968921293255904i,+0.997484996082439+0.420106837898189i,+0.434308762968786-1.146724068537855i,+0.737310868587634-0.668576152582822i,+0.546925016669995-0.821121159637341i
+0.874467352247617+0.665132513359204i,+0.941777985833828+0.500624675264848i,+1.017178464448288+0.325729462587574i,+1.051497796187947+0.280933060663387i,+0.921785165762192+0.573187808769585i,+0.832389744834090-0.567387445102017i,+0.675260106454318-0.756382231781159i,+0.343075420080355-0.915126809569107i,+0.262472180913361-0.963985328701906i,+0.978012647739730+0.428741413225990i,+0.397992851805368-1.142907478948606i,+0.713638785445501-0.677757589892299i,+0.518881490380143-0.824761485381282i
+0.855582924506586+0.672614631777657i,+0.921485867403799+0.512510432024959i,+1.000560977843923+0.338882679955099i,+1.035114862020395+0.295186825619576i,+0.902722037571394+0.582869040234312i,+0.809368062933100-0.579969163014583i,+0.645514439091497-0.765213568876611i,+0.311842574203485-0.911225209276623i,+0.230152880198354-0.957064069118815i,+0.959533161259265+0.441017873474867i,+0.359125315550800-1.137325999192784i,+0.687634827390787-0.686338520975731i,+0.488765945305200-0.827419375846072i
