+1.029999995654267+0.000000000000000i,+0.957212355676427+0.000000000000000i,+0.965210864820990+0.000000000000000i
+1.030002025120086+0.000000000000000i,+0.957211728037203+0.000000000000000i,+0.965209914624851+0.000000000000000i
+1.029999429875027+0.000000000000000i,+0.957212309836919+0.000000000000000i,+0.965210120156925+0.000000000000000i
+1.029999489612634+0.000000000000000i,+0.957212505958191+0.000000000000000i,+0.965210806042520+0.000000000000000i
+1.029999635040811+0.000000000000000i,+0.957214015315184+0.000000000000000i,+0.965211156627563+0.000000000000000i
+1.029999019800085+0.000000000000000i,+0.957211342772002+0.000000000000000i,+0.965210726156579+0.000000000000000i
+0.441057258519005+0.000000000000000i,+0.000000597215161+0.000000000000000i,+0.000003157979730+0.000000000000000i
+0.410398935924074+0.000000000000000i,+0.000000984861589+0.000000000000000i,+0.000003475217329+0.000000000000000i
+1.117504416667507+0.000000000000000i,-0.000000056889519+0.000000000000000i,+1.117502417007993+0.000000000000000i
+1.145056875941030+0.000000000000000i,-0.000000006335180+0.000000000000000i,+1.145060494221991+0.000000000000000i
+1.161880571379977+0.000000000000000i,-0.000000079638435+0.000000000000000i,+1.161882092094151+0.000000000000000i
+1.172301605213382+0.000000000000000i,-0.000000044605346+0.000000000000000i,+1.172297793825267+0.000000000000000i
+1.178921562274266+0.000000000000000i,+0.000000012232831+0.000000000000000i,+1.178920035300700+0.000000000000000i
+1.183319297691899+0.000000000000000i,-0.000000075358433+0.000000000000000i,+1.183315632788982+0.000000000000000i
+1.186422171694075+0.000000000000000i,+0.000000032642318+0.000000000000000i,+1.186427263535764+0.000000000000000i
+1.188815952857516+0.000000000000000i,-0.000000108657806+0.000000000000000i,+1.188814864377338+0.000000000000000i
+1.190825026486543+0.000000000000000i,-0.000000050188038+0.000000000000000i,+1.190832734064723+0.000000000000000i
+1.192640112495584+0.000000000000000i,+0.000000085156144+0.000000000000000i,+1.192651583151232+0.000000000000000i
+1.194397425742145+0.000000000000000i,-0.000000011398329+0.000000000000000i,+1.194402477945967+0.000000000000000i
+1.196133887158363+0.000000000000000i,+0.000000068181362+0.000000000000000i,+1.196136786626883+0.000000000000000i
+1.197932943957903+0.000000000000000i,-0.000000015112999+0.000000000000000i,+1.197901494701370+0.000000000000000i
+1.199735030836791+0.000000000000000i,+0.000000034620103+0.000000000000000i,+1.199732980318721+0.000000000000000i
+1.201611451640099+0.000000000000000i,+0.000000101004179+0.000000000000000i,+1.201621217330199+0.000000000000000i
+1.203578973852805+0.000000000000000i,+0.000000091959680+0.000000000000000i,+1.203578965194571+0.000000000000000i
+1.205590450185144+0.000000000000000i,+0.000000052287588+0.000000000000000i,+1.205590374005541+0.000000000000000i
+1.207660425586083+0.000000000000000i,+0.000000043207986+0.000000000000000i,+1.207660260254677+0.000000000000000i
+1.209784441497232+0.000000000000000i,-0.000000065734261+0.000000000000000i,+1.209784379278642+0.000000000000000i
+1.211957818706213+0.000000000000000i,-0.000000076637177+0.000000000000000i,+1.211957917558194+0.000000000000000i
+1.214175945315874+0.000000000000000i,+0.000000040756489+0.000000000000000i,+1.214176009557132+0.000000000000000i
+1.216433602537467+0.000000000000000i,-0.000000041420178+0.000000000000000i,+1.216433603068186+0.000000000000000i
+1.218727661343737+0.000000000000000i,+0.000000023224094+0.000000000000000i,+1.218726614787943+0.000000000000000i
+1.221050455964210+0.000000000000000i,+0.000000031800984+0.000000000000000i,+1.221050502717636+0.000000000000000i
+1.223399521563272+0.000000000000000i,+0.000000037080013+0.000000000000000i,+1.223399247246653+0.000000000000000i
+1.225770593815795+0.000000000000000i,+0.000000108066347+0.000000000000000i,+1.225770917285147+0.000000000000000i
+1.228162538145673+0.000000000000000i,-0.000000026526458+0.000000000000000i,+1.228165545381993+0.000000000000000i
+1.230568519057495+0.000000000000000i,-0.000000047389886+0.000000000000000i,+1.230562995440539+0.000000000000000i
+1.232987149091777+0.000000000000000i,+0.000000011600725+0.000000000000000i,+1.232990019483522+0.000000000000000i
+1.235409670038973+0.000000000000000i,+0.000000013587446+0.000000000000000i,+1.235413030907990+0.000000000000000i
+1.237830255430091+0.000000000000000i,-0.000000087374635+0.000000000000000i,+1.237835078820519+0.000000000000000i
+1.240259947464440+0.000000000000000i,+0.000000035950182+0.000000000000000i,+1.240259892412030+0.000000000000000i
+1.242688368686328+0.000000000000000i,-0.000000029479388+0.000000000000000i,+1.242688243380860+0.000000000000000i
