Time,NW_BUS.F,NW_BUS.VPM,NW_BUS_VPA,NW_LINE.IPM,NW_LINE.IPA,NW_LINE.P,NW_LINE.Q
T,F,VPM,VPA,VPM,VPA,P,Q
sec,Hz,kV,DEG,kA,DEG,MW,MVAR
PMU,PMU,PMU,PMU,PMU,PMU,PMU,PMU
0,59.98170471,545.0861875,171.5409088,1.10717688,169.4517365,1042.756348,39.11794662
0.016666667,59.98169708,545.0789375,171.4307098,1.107122559,169.3399963,1042.646729,38.97953415
0.033333333,59.98168945,545.071625,171.318161,1.106921143,169.2234802,1042.345825,38.84112167
0.05,59.98168182,545.0556875,171.2056122,1.106719482,169.1114502,1042.345825,38.9658432
0.066666667,59.98167419,545.03975,171.0930634,1.106517822,169.0023956,1042.441528,39.09068298
0.083333333,59.98166656,545.0238125,170.9827118,1.106661255,168.8901825,1042.756226,38.97870255
0.1,59.98166275,545.007875,170.8723602,1.106804932,168.7779694,1042.737183,38.86651993
0.116666667,59.98165512,544.9919375,170.7619934,1.106948608,168.6702576,1042.569214,38.75433731
0.133333333,59.98164749,544.976,170.6516418,1.107092163,168.5653687,1043.087646,38.77627563
0.15,59.98163986,544.9499375,170.541275,1.10723584,168.460495,1043.262939,38.79823303
0.166666667,59.98163223,544.9238125,170.4309235,1.107481689,168.3506317,1043.276611,38.82019043
0.183333333,59.9816246,544.8976875,170.3205719,1.107727539,168.2388,1043.5,38.84214783
0.2,59.98161697,544.871625,170.2102051,1.107973389,168.1269531,1043.723511,38.78642654
0.216666667,59.98160934,544.8455,170.0985413,1.108219238,168.0196838,1043.814575,38.73070526
0.233333333,59.98160172,544.82425,169.9868622,1.10846521,167.9124146,1043.835449,38.52427292
0.25,59.98159409,544.803,169.8751831,1.10865332,167.8051605,1044.097534,38.61294937
0.266666667,59.98158646,544.7816875,169.7635193,1.108841553,167.6978912,1044.67749,38.21460342
0.283333333,59.98157883,544.7604375,169.6518402,1.109136353,167.5931854,1044.745361,38.13244629
0.3,59.98157501,544.7391875,169.5401611,1.109431152,167.4906311,1044.644043,38.05050278
0.316666667,59.98156738,544.717875,169.4294739,1.109725952,167.3900299,1045.158081,37.84737778
0.333333333,59.98155975,544.696625,169.3187714,1.109967529,167.2894287,1045.29541,37.6442337
0.35,59.98155212,544.675375,169.2080688,1.110209229,167.1888275,1045.522827,37.44108582
0.366666667,59.98154449,544.654125,169.0973663,1.110450806,167.0866547,1045.175781,37.42467499
0.383333333,59.98153687,544.6328125,168.9866791,1.110504883,166.9824219,1045.550781,37.40832901
0.4,59.98152924,544.618625,168.8759766,1.110559082,166.8782043,1045.422241,36.77975845
0.416666667,59.98152161,544.6044375,168.7633972,1.110613159,166.7780304,1045.469727,36.7882576
0.433333333,59.98151398,544.59025,168.6508179,1.110667236,166.6755219,1045.654785,37.24992752
0.45,59.98150635,544.5760625,168.5382233,1.110721313,166.5623627,1045.384888,37.13894653
0.466666667,59.98149872,544.568875,168.4272003,1.110775513,166.4444885,1045.36377,37.02793503
0.483333333,59.98149109,544.5616875,168.3161621,1.110744751,166.3360443,1045.569946,36.3603363
0.5,59.98148727,544.5544375,168.2051392,1.110713867,166.2377625,1045.515137,36.66417694
0.516666667,59.98147964,544.54725,168.0941162,1.110682983,166.1394806,1045.180176,36.37051773
0.533333333,59.98147202,544.5424375,167.983078,1.110652222,166.0335541,1045.372314,36.58111954
0.55,59.98146439,544.537625,167.8713379,1.110621338,165.9225922,1045.228516,36.44546127
0.566666667,59.98145676,544.5384375,167.7595825,1.110590576,165.8116302,1045.216064,36.30965424
0.583333333,59.98144913,544.53925,167.6478424,1.110559692,165.7043762,1045.16626,36.1738472
0.6,59.9814415,544.5400625,167.5361023,1.110528931,165.5971222,1045.245728,36.37924194
0.616666667,59.98137665,544.540875,167.4221802,1.110498047,165.4817657,1045.186523,36.58485031
0.633333333,59.9813118,544.5431875,167.3082428,1.110499756,165.3594513,1045.347656,36.56607056
0.65,59.98124313,544.5455,167.1943207,1.110501465,165.2371368,1045.298828,36.77676773
0.666666667,59.98117828,544.547875,167.0803986,1.110503174,165.1182709,1044.971802,36.61865997
0.683333333,59.98111343,544.5501875,166.9642334,1.110504761,165.0039368,1045.385864,36.46035004
0.7,59.98104858,544.5525,166.8480682,1.11050647,164.8920288,1045.078491,36.51253128
0.716666667,59.98097992,544.552875,166.7290649,1.110508179,164.7767944,1045.469971,36.56472397
0.733333333,59.98091507,544.5531875,166.6100616,1.110509888,164.6585083,1045.104248,36.31428909
0.75,59.98077011,544.5535625,166.4910583,1.110511597,164.5402374,1045.096924,36.82065582
0.766666667,59.98062134,544.5539375,166.3704529,1.110413208,164.4136658,1044.99353,37.08832169
0.783333333,59.98047638,544.55425,166.2498627,1.110314941,164.2798767,1044.890137,36.72406006
0.8,59.98033142,544.554625,166.1292572,1.110216553,164.1524963,1044.859253,36.80031967
0.816666667,59.98018265,544.570375,166.0086517,1.110118286,164.0347137,1044.828369,36.8767662
0.833333333,59.98003769,544.586125,165.8880463,1.110019897,163.9169464,1044.948853,36.95321655
0.85,59.98000717,544.6019375,165.7674561,1.109989136,163.792923,1044.972534,37.0296669
0.866666667,59.97997284,544.6176875,165.6468506,1.109958374,163.6688995,1044.671875,36.98968506
0.883333333,59.97994232,544.6334375,165.5262451,1.109927612,163.5464478,1044.770874,36.94965744
0.9,59.9799118,544.6491875,165.4049988,1.109896851,163.426239,1044.996704,37.09089279
0.916666667,59.97987747,544.665,165.2837372,1.109866089,163.3039246,1044.989624,37.23226929
0.933333333,59.97984695,544.68075,165.1624756,1.109953735,163.1775055,1045.126343,37.37364578
0.95,59.97981644,544.69675,165.0412292,1.110041382,163.0477448,1044.779785,37.51502228
0.966666667,59.97978592,544.7128125,164.9199677,1.109869507,162.9179688,1044.785034,37.46953201
0.983333333,59.97975159,544.7288125,164.7976074,1.109697266,162.7881927,1044.661377,37.58727264
1,59.97972107,544.744875,164.6752472,1.109525146,162.6622009,1044.655884,37.7050972
1.016666667,59.97969055,544.760875,164.552887,1.109352905,162.5362244,1044.232788,37.5431366
1.033333333,59.97965622,544.7769375,164.4305267,1.109180786,162.411438,1044.205322,37.78395462
1.05,59.9796257,544.7929375,164.3068542,1.109008545,162.2839966,1043.964111,38.0250473
1.066666667,59.97959518,544.806375,164.1831818,1.108805054,162.1518402,1043.845093,38.07365417
1.083333333,59.97956085,544.819875,164.0595093,1.108601563,162.0196991,1043.596802,38.12222672
1.1,59.97953033,544.8333125,163.9358368,1.108398071,161.8931122,1043.389893,37.87652969
1.116666667,59.97950745,544.84675,163.812149,1.10819458,161.7710114,1043.501953,38.06198502
1.133333333,59.97948456,544.8601875,163.6884766,1.107990967,161.6489105,1043.554932,38.24760818
1.15,59.97946167,544.8736875,163.5648041,1.107965576,161.5195465,1043.488403,38.38234329
1.166666667,59.97943878,544.887125,163.4411316,1.107940308,161.3863983,1043.389404,38.51704025
1.183333333,59.97941589,544.893,163.3174438,1.107914917,161.2532349,1043.362305,38.65173721
1.2,59.97939301,544.8989375,163.1921692,1.107889648,161.1235657,1043.114746,38.67922592
1.216666667,59.97937012,544.9048125,163.0668945,1.107767334,160.9938965,1043.021973,38.70671082
1.233333333,59.97934723,544.9106875,162.9416046,1.10764502,160.864212,1043.058228,38.73419571
1.25,59.97932434,544.916625,162.81633,1.107522705,160.7385254,1042.800903,38.61125183
1.266666667,59.97929764,544.9225,162.69104,1.107400391,160.6128387,1042.849976,38.90852737
1.283333333,59.97927475,544.9284375,162.5657654,1.107277954,160.4846649,1042.99231,39.03619766
1.3,59.97925186,544.9343125,162.4404907,1.107419556,160.3530731,1043.134888,39.16375351
1.316666667,59.97922897,544.92975,162.3162079,1.107561279,160.2214661,1043.377808,39.04387665
1.333333333,59.97920609,544.92525,162.1919403,1.107703003,160.0957336,1043.540649,38.58052826
1.35,59.9791832,544.9206875,162.0676727,1.107839478,159.9781036,1043.412964,38.86469269
1.366666667,59.97916031,544.9161875,161.9419403,1.107975952,159.8604736,1043.854492,38.90808868
1.383333333,59.97913742,544.911625,161.8162079,1.108112549,159.7346497,1043.896362,38.95139694
1.4,59.97911453,544.907125,161.6904755,1.108249023,159.6047974,1043.776367,38.9947052
1.416666667,59.97909927,544.9025625,161.564743,1.108385498,159.4749298,1043.842896,38.94419098
1.433333333,59.97908401,544.890375,161.4389954,1.108435181,159.3504944,1043.821655,38.89363098
1.45,59.97906876,544.8781875,161.3115387,1.108484863,159.2260742,1043.891846,38.84306717
